id,person,tweets,gender,title,category
0,Lincoln Chafee,1,m,former rhode island governor,democratic presidential candidates
1,Hillary Clinton,445,f,democratic presidential nominee,democratic presidential candidates
2,Martin O'Malley,3,m,former maryland governor,democratic presidential candidates
3,Bernie Sanders,26,m,united states senator,democratic presidential candidates
4,Jeb Bush,93,m,former florida governor,republican presidential candidates
5,Ben Carson,7,m,retired neurosurgeon,republican presidential candidates
6,Chris Christie,1,m,new jersey governor,republican presidential candidates
7,Ted Cruz,110,m,united states senator,republican presidential candidates
8,Carly Fiorina,8,f,former business executive,republican presidential candidates
9,Lindsey Graham,15,m,united states senator,republican presidential candidates
10,Bobby Jindal,3,m,former louisiana governor,republican presidential candidates
11,John Kasich,25,m,ohio governor,republican presidential candidates
12,George Pataki,6,m,former new york governor,republican presidential candidates
13,Rand Paul,8,m,united states senator,republican presidential candidates
14,Rick Perry,7,m,former texas governor,republican presidential candidates
15,Marco Rubio,82,m,united states senator,republican presidential candidates
16,Scott Walker,6,m,wisconsin governor,republican presidential candidates
17,Joseph R. Biden Jr.,1,m,vice president of the united states,democratic politicians
18,Cory Booker,2,m,united states senator,democratic politicians
19,Ben Cardin,1,m,united states senator,democratic politicians
20,Bill Clinton,10,m,former president of the united states,democratic politicians
21,Bill and Hillary Clinton,1,n,,democratic politicians
22,Tim Kaine,4,m,democratic vice-presidential nominee,democratic politicians
23,Sam Liccardo,1,m,"mayor of san jose, calif.",democratic politicians
24,Michael Nutter,3,m,former mayor of philadelphia,democratic politicians
25,President Obama,27,m,current president,democratic politicians
26,Stephanie Rawlings-Blake,1,m,mayor of baltimore,democratic politicians
27,Bakari Sellers,1,m,former south carolina congressman,democratic politicians
28,Marty Walsh,1,m,mayor of boston,democratic politicians
29,Elizabeth Warren,54,f,united states senator,democratic politicians
30,Debbie Wasserman Schultz,2,f,united states congresswoman,democratic politicians
31,Anthony D. Weiner,2,m,former united states congressman,democratic politicians
32,Bill de Blasio,5,m,mayor of new york city,democratic politicians
33,George Bush,1,m,former president of the united states,republican politicians
34,George W. Bush,4,m,former president of the united states,republican politicians
35,Jeff Flake,4,m,united states senator,republican politicians
36,Nikki Haley,1,f,south carolina governor,republican politicians
37,John McCain,12,m,united states senator,republican politicians
38,Tom Ridge,3,m,former pennsylvania governor,republican politicians
39,Mitt Romney,24,m,former massachusetts governor,republican politicians
40,Paul D. Ryan,6,m,house speaker,republican politicians
41,Ben Sasse,4,m,united states senator,republican politicians
42,Rick Scott,1,m,florida governor,republican politicians
43,John Sununu,3,m,former new hampshire governor,republican politicians
44,Matt Bai,1,m,"national political columnist, yahoo news",journalists and other media figures
45,Michael Barbaro,3,m,"reporter, the new york times",journalists and other media figures
46,Glenn Beck,18,m,television personality,journalists and other media figures
47,Joy Behar,1,f,television host,journalists and other media figures
48,Lisa Belkin,1,f,"chief national correspondent, yahoo news",journalists and other media figures
49,Charles Blow,1,m,"columnist, the new york times",journalists and other media figures
50,Brent Bozell,1,m,"president, media research center",journalists and other media figures
51,David Brooks,6,m,"columnist, the new york times",journalists and other media figures
52,Frank Bruni,1,m,"columnist, the new york times",journalists and other media figures
53,Mika Brzezinski,10,f,"co-host, “morning joe”",journalists and other media figures
54,Carl Cameron,2,m,"reporter, fox news",journalists and other media figures
55,Alisyn Camerota,1,f,"co-host, “new day”",journalists and other media figures
56,Graydon Carter,3,m,"editor, vanity fair",journalists and other media figures
57,Amy Chozick,2,f,"reporter, the new york times",journalists and other media figures
58,Anderson Cooper,1,m,"anchor, cnn",journalists and other media figures
59,Katie Couric,4,f,"global anchor, yahoo news",journalists and other media figures
60,S.E. Cupp,8,f,columnist,journalists and other media figures
61,Sopan Deb,4,m,"reporter, cbs news",journalists and other media figures
62,Donny Deutsch,2,m,television personality,journalists and other media figures
63,Maureen Dowd,8,f,"columnist, the new york times",journalists and other media figures
64,Erick Erickson,8,m,conservative commentator,journalists and other media figures
65,Major Garrett,3,m,"white house correspondent, cbs news",journalists and other media figures
66,Willie Geist,1,m,"host, “sunday today”",journalists and other media figures
67,Bernard Goldberg,2,m,journalist,journalists and other media figures
68,David Gregory,3,m,"political analyst, cnn",journalists and other media figures
69,Maggie Haberman,3,f,"journalist, the new york times",journalists and other media figures
70,Mark Halperin,2,m,political analyst,journalists and other media figures
71,Mary Katharine Ham,1,f,journalist,journalists and other media figures
72,John Harwood,1,m,"chief washington correspondent, cnbc",journalists and other media figures
73,Melinda Henneberger,1,f,"former editor in chief, roll call",journalists and other media figures
74,Dan Henninger,1,m,"deputy editor, wall street journal editorial page",journalists and other media figures
75,Hugh Hewitt,2,m,"host, “the hugh hewitt show”",journalists and other media figures
76,Jeff Horwitz,2,m,"reporter, the associated press",journalists and other media figures
77,Arianna Huffington,2,f,"founder, the huffington post",journalists and other media figures
78,Brit Hume,2,m,"political analyst, fox news",journalists and other media figures
79,Kasie Hunt,1,f,"political correspondent, msnbc",journalists and other media figures
80,Hallie Jackson,1,f,"correspondent, nbc news",journalists and other media figures
81,Megyn Kelly,38,f,"anchor, fox news",journalists and other media figures
82,John King,1,m,"chief national correspondent, cnn",journalists and other media figures
83,Serge Kovaleski,1,m,"reporter, the new york times",journalists and other media figures
84,Charles Krauthammer,9,m,columnist,journalists and other media figures
85,Bill Kristol,8,m,"editor, the weekly standard",journalists and other media figures
86,Charles Lane,1,m,"opinion writer, the washington post",journalists and other media figures
87,Don Lemon,2,m,"anchor, cnn",journalists and other media figures
88,Tom Llamas,2,m,"reporter, abc news",journalists and other media figures
89,Rich Lowry,5,m,"editor, national review",journalists and other media figures
90,Ruth Marcus,2,f,"columnist, the washington post",journalists and other media figures
91,Jonathan Martin,3,m,"journalist, the new york times",journalists and other media figures
92,Meghan McCain,3,f,"host, “america now,” and fox news contributor",journalists and other media figures
93,Joe McQuaid,1,m,"publisher, new hampshire union leader",journalists and other media figures
94,Ana Navarro,3,f,"contributor, cnn",journalists and other media figures
95,Tim O'Brien,3,m,"journalist, bloomberg",journalists and other media figures
96,Clare O'Connor,3,f,"staff writer, forbes",journalists and other media figures
97,Lawrence O'Donnell,4,m,"television host, msnbc",journalists and other media figures
98,Steve Rattner,1,m,wall street executive and new york times contributing writer,journalists and other media figures
99,Cokie Roberts,2,f,"contributor, “morning edition”",journalists and other media figures
100,Jennifer Rubin,2,f,"blogger, the washington post",journalists and other media figures
101,Joe Scarborough,4,m,"host, “morning joe”",journalists and other media figures
102,Ben Schreckinger,2,m,"reporter, politico",journalists and other media figures
103,Molly Sims,1,f,model and actress,journalists and other media figures
104,Tavis Smiley,1,m,"journalist, pbs",journalists and other media figures
105,Shep Smith,2,m,"anchor, fox news",journalists and other media figures
106,Chris Stirewalt,3,m,"editor, fox news channel",journalists and other media figures
107,Marc Thiessen,4,m,columnist and fox news contributor,journalists and other media figures
108,Chuck Todd,20,m,"moderator, “meet the press”",journalists and other media figures
109,Katy Tur,7,f,"journalist, nbc news",journalists and other media figures
110,The Wall Street Journal editorial board,1,n,opinion pages of the wall street journal,journalists and other media figures
111,Nicolle Wallace,2,f,"former co-host, “the view”",journalists and other media figures
112,George Will,12,m,columnist,journalists and other media figures
113,Juan Williams,2,m,"political analyst, fox news",journalists and other media figures
114,Jeff Zeleny,1,m,"senior washington correspondent, cnn",journalists and other media figures
115,Jeff Zucker,1,m,"president, cnn",journalists and other media figures
116,Mort Zuckerman,4,m,"owner, the new york daily news",journalists and other media figures
117,Huma Abedin,1,f,aide to hillary clinton,other people
118,John R. Allen,2,m,retired united states marine general,other people
119,Ruth Bader Ginsburg,4,f,supreme court justice,other people
120,Elizabeth Beck,6,f,lawyer,other people
121,Paul Begala,2,m,former political adviser to bill clinton,other people
122,Michael Bloomberg,3,m,former mayor of new york city,other people
123,Donna Brazile,2,f,"interim chairwoman, democratic national committee",other people
124,Jeb Bush campaign staffer,2,n,campaign staffer,other people
