id,target,tweets,gender,title,category
0,Hillary Clinton,446,f,democratic presidential nominee,democratic presidential candidates
1,Ted Cruz,110,m,united states senator,republican presidential candidates
2,The New York Times,102,n,newspaper,media organizations
3,The mainstream media,94,n,,other
4,Jeb Bush,93,m,former florida governor,republican presidential candidates
5,Marco Rubio,82,m,united states senator,republican presidential candidates
6,CNN,82,n,news organization,media organizations
7,Elizabeth Warren,54,f,united states senator,democratic politicians
8,Karl Rove,48,m,former deputy white house chief of staff,other people
9,Megyn Kelly,38,f,"anchor, fox news",journalists and other media figures
10,President Obama,28,m,current president,democratic politicians
11,Politico,27,n,news organization,media organizations
12,Bernie Sanders,26,m,united states senator,democratic presidential candidates
13,John Kasich,25,m,ohio governor,republican presidential candidates
14,Mitt Romney,24,m,former massachusetts governor,republican politicians
15,Obamacare,23,n,health care law,other
16,The New Hampshire Union Leader,21,n,newspaper,media organizations
17,Fox News,20,n,news organization,media organizations
18,Chuck Todd,20,m,"moderator, “meet the press”",journalists and other media figures
19,“Morning Joe”,18,n,television show,television shows
20,The electoral process,18,n,,other
21,Glenn Beck,18,m,television personality,journalists and other media figures
22,Club for Growth,18,n,antitax political group,groups and political organizations
23,The American delegate system,17,n,,other
24,The Iran nuclear deal,17,n,international agreement,other
25,Macy's,17,n,department store,other
26,Lindsey Graham,15,m,united states senator,republican presidential candidates
27,United States,14,n,country,places
28,The Wall Street Journal,14,n,newspaper,media organizations
29,John McCain,12,m,united states senator,republican politicians
30,Stuart Stevens,12,m,political consultant,other people
31,“Saturday Night Live”,12,n,television program,other
32,George Will,12,m,columnist,journalists and other media figures
33,The Washington Post,11,n,newspaper,media organizations
34,Bill Clinton,11,m,former president of the united states,democratic politicians
35,New York Daily News,10,n,newspaper,media organizations
36,Mika Brzezinski,10,f,"co-host, “morning joe”",journalists and other media figures
37,Assault allegations,9,n,allegations of sexual assault brought forward by several women,other
38,The Associated Press,9,n,news organization,media organizations
39,Charles Krauthammer,9,m,columnist,journalists and other media figures
40,Politicians,9,n,,groups and political organizations
41,Carly Fiorina,8,f,former business executive,republican presidential candidates
42,Rand Paul,8,m,united states senator,republican presidential candidates
43,Cheri Jacobus,8,f,g.o.p. consultant,other people
44,The Des Moines Register,8,n,newspaper,media organizations
45,National Review,8,n,magazine,media organizations
46,S.E. Cupp,8,f,columnist,journalists and other media figures
47,Maureen Dowd,8,f,"columnist, the new york times",journalists and other media figures
48,Erick Erickson,8,m,conservative commentator,journalists and other media figures
49,Bill Kristol,8,m,"editor, the weekly standard",journalists and other media figures
50,Democrats,8,n,,groups and political organizations
51,“Meet the Press”,7,n,television show,television shows
52,Ben Carson,7,m,retired neurosurgeon,republican presidential candidates
53,Rick Perry,7,m,former texas governor,republican presidential candidates
54,Bob Vander Plaats,7,m,"president and chief executive, the family leader",other people
55,The Cruz-Kasich pact,7,n,failed attempt at political cooperation,other
56,Protesters,7,n,at mr. trump's rallies,other
57,Trump/Russia Report,7,n,unsubstantiated report that russia had damaging information on mr. trump,other
58,Katy Tur,7,f,"journalist, nbc news",journalists and other media figures
59,Penn Jillette,7,m,performer,celebrities
60,George Pataki,6,m,former new york governor,republican presidential candidates
61,Scott Walker,6,m,wisconsin governor,republican presidential candidates
62,Paul D. Ryan,6,m,house speaker,republican politicians
63,Mexico,6,n,country,places
64,Elizabeth Beck,6,f,lawyer,other people
65,Frank Luntz,6,m,political consultant,other people
66,Tony Schwartz,6,m,"ghostwriter, ""the art of the deal""",other people
67,CNBC,6,n,news organization,media organizations
68,Vanity Fair,6,n,magazine,media organizations
69,David Brooks,6,m,"columnist, the new york times",journalists and other media figures
70,Republican Party of Virginia,6,n,political party,groups and political organizations
71,Republicans,6,n,,groups and political organizations
72,“The View”,5,n,television show,television shows
73,CNN panelists,5,n,cnn panelists,other people
74,Gonzalo P. Curiel,5,m,judge of the united states district court for the southern district of california,other people
75,Robert Gates,5,m,former secretary of defense,other people
76,The 2016 election,5,n,,other
77,Democratic National Convention,5,n,,other
78,Wall Street Journal-NBC News poll,5,n,polling group,other
79,The Huffington Post,5,n,news organization,media organizations
80,NBC News,5,n,news organization,media organizations
81,Graydon Carter,5,m,"editor, vanity fair",journalists and other media figures
82,Rich Lowry,5,m,"editor, national review",journalists and other media figures
83,Bill de Blasio,5,m,mayor of new york city,democratic politicians
84,George W. Bush,4,m,former president of the united states,republican politicians
85,Jeff Flake,4,m,united states senator,republican politicians
86,Ben Sasse,4,m,united states senator,republican politicians
87,Ruth Bader Ginsburg,4,f,supreme court justice,other people
88,Harry Hurt III,4,m,"author, “lost tycoon: the many lives of donald j. trump”",other people
89,Leaked D.N.C. emails,4,n,,other
90,New York Times articles,4,n,,other
91,Trans-Pacific Partnership,4,n,trade deal,other
92,Television commercials,4,n,advertisements critical of mr. trump,other
93,Democratic National Committee,4,n,,other
94,Forbes,4,n,magazine,media organizations
95,Univision,4,n,media organization,media organizations
96,Katie Couric,4,f,"global anchor, yahoo news",journalists and other media figures
97,Sopan Deb,4,m,"reporter, cbs news",journalists and other media figures
98,Lawrence O'Donnell,4,m,"television host, msnbc",journalists and other media figures
99,Joe Scarborough,4,m,"host, “morning joe”",journalists and other media figures
100,Marc Thiessen,4,m,columnist and fox news contributor,journalists and other media figures
101,Mort Zuckerman,4,m,"owner, the new york daily news",journalists and other media figures
102,Other presidential candidates,4,n,mostly republican politicians,groups and political organizations
103,The Republican establishment,4,n,,groups and political organizations
104,Republican presidential candidates,4,n,,groups and political organizations
105,Donald Trump opposition,4,n,,groups and political organizations
106,Tim Kaine,4,m,democratic vice-presidential nominee,democratic politicians
107,Samuel L. Jackson,4,m,actor,celebrities
108,Bobby Jindal,3,m,former louisiana governor,republican presidential candidates
109,Tom Ridge,3,m,former pennsylvania governor,republican politicians
110,John Sununu,3,m,former new hampshire governor,republican politicians
111,Michael Bloomberg,3,m,former mayor of new york city,other people
112,Alicia Machado,3,f,former miss universe,other people
113,Michael J. Morell,3,m,former deputy director of the c.i.a.,other people
114,Amazon,3,n,online retailer,other
115,Republican National Committee,3,n,,other
116,Special interests,3,n,,other
117,The State of the Union address,3,n,,other
118,Election Pollsters,3,n,,other
119,Michael Barbaro,3,m,"reporter, the new york times",journalists and other media figures
120,Major Garrett,3,m,"white house correspondent, cbs news",journalists and other media figures
121,David Gregory,3,m,"political analyst, cnn",journalists and other media figures
122,Maggie Haberman,3,f,"journalist, the new york times",journalists and other media figures
123,Jonathan Martin,3,m,"journalist, the new york times",journalists and other media figures
124,Meghan McCain,3,f,"host, “america now,” and fox news contributor",journalists and other media figures
125,Ana Navarro,3,f,"contributor, cnn",journalists and other media figures
126,Tim O'Brien,3,m,"journalist, bloomberg",journalists and other media figures
127,Clare O'Connor,3,f,"staff writer, forbes",journalists and other media figures
128,Chris Stirewalt,3,m,"editor, fox news channel",journalists and other media figures
129,Islamic State,3,n,,groups and political organizations
130,U.S. leaders,3,n,,groups and political organizations
131,Martin O'Malley,3,m,former maryland governor,democratic presidential candidates
132,Michael Nutter,3,m,former mayor of philadelphia,democratic politicians
133,John Lewis,3,m,united states congressman,democratic politicians
134,Whoopi Goldberg,3,f,actress and television personality,celebrities
135,Today,2,n,television show,television shows
136,“New Day”,2,n,cnn news program,television shows
137,“The O'Reilly Factor”,2,n,fox news program,television shows
138,Germany,2,n,country,places
139,"Washington, D.C.",2,n,state,places
140,John R. Allen,2,m,retired united states marine general,other people
141,Paul Begala,2,m,former political adviser to bill clinton,other people
142,Donna Brazile,2,f,"interim chairwoman, democratic national committee",other people
143,Jeb Bush campaign staffer,2,n,campaign staffer,other people
144,The cast of “Hamilton”,2,n,cast of the broadway show,other people
145,John Legere,2,m,"chief executive, t-mobile",other people
146,Russell Moore,2,m,evangelical leader,other people
147,Colin Powell,2,m,former secretary of state,other people
148,John Roberts,2,m,united states chief justice,other people
149,Alwaleed bin Talal,2,m,"prince, saudi arabia",other people
150,Rick Wilson,2,m,political consultant,other people
151,Chuck Jones,2,m,president of united steelworkers local 99,other people
152,ABC News-Washington Post poll,2,n,polling group,other
153,All Business: The Essential Donald Trump,2,n,documentary film,other
154,The Democratic debate,2,n,,other
155,The Fox News debate,2,n,republican presidential debate,other
156,Microphone at the first presidential debate,2,n,,other
157,North American Free Trade Agreement,2,n,,other
158,A podium in the Oval Office,2,n,,other
159,United States employment situation,2,n,government jobs report,other
160,U.S.-Mexico border,2,n,political boundary,other
161,U.S. trade pacts,2,n,,other
162,Vote recount in Wisconsin,2,n,,other
163,Early voting in Florida,2,n,,other
164,New 747 Air force One,2,n,Airplane,other
165,United Nations,2,n,international organization,other
166,ABC News Politics,2,n,news organization,media organizations
167,The Daily Beast,2,n,news website,media organizations
168,Carl Cameron,2,m,"reporter, fox news",journalists and other media figures
169,Amy Chozick,2,f,"reporter, the new york times",journalists and other media figures
170,Donny Deutsch,2,m,television personality,journalists and other media figures
171,Bernard Goldberg,2,m,journalist,journalists and other media figures
172,Mark Halperin,2,m,political analyst,journalists and other media figures
173,Hugh Hewitt,2,m,"host, “the hugh hewitt show”",journalists and other media figures
174,Jeff Horwitz,2,m,"reporter, the associated press",journalists and other media figures
175,Arianna Huffington,2,f,"founder, the huffington post",journalists and other media figures
176,Brit Hume,2,m,"political analyst, fox news",journalists and other media figures
177,Don Lemon,2,m,"anchor, cnn",journalists and other media figures
178,Tom Llamas,2,m,"reporter, abc news",journalists and other media figures
179,Ruth Marcus,2,f,"columnist, the washington post",journalists and other media figures
180,Cokie Roberts,2,f,"contributor, “morning edition”",journalists and other media figures
181,Jennifer Rubin,2,f,"blogger, the washington post",journalists and other media figures
182,Ben Schreckinger,2,m,"reporter, politico",journalists and other media figures
183,Shep Smith,2,m,"anchor, fox news",journalists and other media figures
184,Nicolle Wallace,2,f,"former co-host, “the view”",journalists and other media figures
185,Juan Williams,2,m,"political analyst, fox news",journalists and other media figures
186,Jeb Bush campaign,2,n,,groups and political organizations
187,Ted Cruz campaign,2,n,,groups and political organizations
188,Democratic presidential candidates,2,n,,groups and political organizations
189,‘Politically correct fools’,2,n,,groups and political organizations
190,The public,2,n,,groups and political organizations
191,Cory Booker,2,m,united states senator,democratic politicians
192,Debbie Wasserman Schultz,2,f,united states congresswoman,democratic politicians
193,Anthony D. Weiner,2,m,former united states congressman,democratic politicians
194,Alec Baldwin,2,m,actor,celebrities
195,Brandon Victor Dixon,2,m,"actor portraying aaron burr in ""hamilton""",celebrities
196,Meryl Streep,2,f,actress and television personality,celebrities
197,Anderson Cooper “360”,1,n,cnn news program,television shows
198,“Inside Politics”,1,n,cnn political show,television shows
199,“The Last Word with Lawrence O'Donnell”,1,n,television show,television shows
200,“World News Tonight”,1,n,abc news program,television shows
201,Chris Christie,1,m,new jersey governor,republican presidential candidates
202,George Bush,1,m,former president of the united states,republican politicians
203,Nikki Haley,1,f,south carolina governor,republican politicians
204,Rick Scott,1,m,florida governor,republican politicians
205,Britain,1,n,country,places
206,China,1,n,country,places
207,Iran,1,n,country,places
208,Saudi Arabia,1,n,country,places
209,New Jersey,1,n,state,places
210,Huma Abedin,1,f,aide to hillary clinton,other people
211,Mark Cuban,1,m,"owner, dallas mavericks",other people
212,Rodrigo Duterte,1,m,president of the philippines,other people
213,John Kasich's ad guy,1,n,ad guy,other people
214,Charles Koch,1,m,"conservative donor, billionaire, philanthropist",other people
215,Errol Louis,1,m,political commentator,other people
216,Angela Merkel,1,f,chancellor of germany,other people
217,Dana Perino,1,f,former white house press secretary,other people
218,Barbara Res,1,f,former trump executive and author of “all alone on the 68th floor”,other people
219,Paul Singer,1,m,hedge fund manager,other people
220,Vandals,1,n,"whoever firebombed a g.o.p. office in orange county, n.c.",other people
221,Frank VanderSloot,1,m,entrepreneur,other people
222,John O. Brennan,1,m,director of the c.i.a,other people
223,Bandon Dunes Golf Resort,1,n,golf course,other
224,The Benghazi hearings,1,n,congressional hearings,other
225,“The Bias-Free Language Guide”,1,n,guide to politically sensitive speaking,other
226,"The Bill, Hillary and Chelsea Clinton Foundation",1,n,philanthropic organization,other
227,Ted Cruz’s Iowa caucus speech,1,n,victory speech,other
228,Debates,1,n,,other
229,Fox News polls,1,n,polling group,other
230,“Hamilton”,1,n,smash broadway musical,other
231,Illegal immigration,1,n,,other
232,Internal Revenue Service,1,n,government agency,other
233,Major League Baseball,1,n,sports organization,other
234,North Atlantic Treaty Organization,1,n,international alliance,other
235,Political ads in Indiana,1,n,,other
236,Recount effort in Pennsylvania,1,n,,other
237,The Rexnord Corporation,1,n,manufacturing company,other
238,“Rockin’ in the Free World”,1,n,popular song,other
239,Super Bowl 50,1,n,sporting event,other
240,T-Mobile,1,n,telecommunications company,other
241,Transportation Security Administration,1,n,government agency,other
242,“The Triumph of William McKinley”,1,n,book,other
243,The United States government,1,n,,other
244,U.S. visa system,1,n,,other
245,Veterans Affairs,1,n,government agency,other
246,Voters,1,n,,other
247,Investigation of Hillary Clinton's email,1,n,,other
248,Lockheed Martin  F-35 Program,1,n,fighter jet,other
249,United Steelworkers Local 1999,1,n,indianapolis union,other
250,Fortune,1,n,magazine,media organizations
251,RedState.com,1,n,conservative website,media organizations
252,USA Today,1,n,newspaper,media organizations
253,The Weekly Standard,1,n,magazine,media organizations
254,NBC Nightly News,1,n,television show,media organizations
255,NBC,1,n,television network,media organizations
256,Matt Bai,1,m,"national political columnist, yahoo news",journalists and other media figures
257,Joy Behar,1,f,television host,journalists and other media figures
258,Lisa Belkin,1,f,"chief national correspondent, yahoo news",journalists and other media figures
259,Charles Blow,1,m,"columnist, the new york times",journalists and other media figures
260,Brent Bozell,1,m,"president, media research center",journalists and other media figures
261,Frank Bruni,1,m,"columnist, the new york times",journalists and other media figures
